Year,State,County,County ANSI,Value
2020,INDIANA,BARTHOLOMEW,5,187.5
2020,INDIANA,BOONE,11,221.9
2020,INDIANA,CLINTON,23,207.1
2020,INDIANA,DECATUR,31,209.5
2020,INDIANA,GRANT,53,187.8
2020,INDIANA,HAMILTON,57,188.7
2020,INDIANA,HANCOCK,59,188.5
2020,INDIANA,HENDRICKS,63,205.2
2020,INDIANA,HOWARD,67,213.1
2020,INDIANA,JOHNSON,81,184.2
2020,INDIANA,MADISON,95,204.7
2020,INDIANA,MARION,97,191.9
2020,INDIANA,MORGAN,109,188
2020,INDIANA,RUSH,139,201.9
2020,INDIANA,SHELBY,145,191
2020,INDIANA,TIPTON,159,216.7
2020,INDIANA,BLACKFORD,9,187.9
2020,INDIANA,DELAWARE,35,192
2020,INDIANA,FAYETTE,41,191.5
2020,INDIANA,HENRY,65,196.6
2020,INDIANA,JAY,75,179.9
2020,INDIANA,RANDOLPH,135,183.9
2020,INDIANA,UNION,161,208.9
2020,INDIANA,WAYNE,177,186.6
2020,INDIANA,CARROLL,15,209.6
2020,INDIANA,CASS,17,200.4
2020,INDIANA,ELKHART,39,174.8
2020,INDIANA,FULTON,49,181
2020,INDIANA,KOSCIUSKO,85,172.9
2020,INDIANA,MARSHALL,99,175.5
2020,INDIANA,MIAMI,103,180.8
2020,INDIANA,ST. JOSEPH,141,167.7
2020,INDIANA,WABASH,169,174.2
2020,INDIANA,ADAMS,1,179.9
2020,INDIANA,ALLEN,3,165.2
2020,INDIANA,DE KALB,33,136.6
2020,INDIANA,HUNTINGTON,69,186.1
2020,INDIANA,LAGRANGE,87,143.5
2020,INDIANA,NOBLE,113,175.3
2020,INDIANA,STEUBEN,151,145.6
2020,INDIANA,WELLS,179,188.5
2020,INDIANA,WHITLEY,183,159.6
2020,INDIANA,BENTON,7,204.5
2020,INDIANA,JASPER,73,172.3
2020,INDIANA,LA PORTE,91,147.8
2020,INDIANA,LAKE,89,171.3
2020,INDIANA,NEWTON,111,192.9
2020,INDIANA,PORTER,127,182.2
2020,INDIANA,PULASKI,131,172.7
2020,INDIANA,STARKE,149,156.8
2020,INDIANA,WHITE,181,178.5
2020,INDIANA,FLOYD,43,171.2
2020,INDIANA,HARRISON,61,182
2020,INDIANA,JACKSON,71,185.4
2020,INDIANA,LAWRENCE,93,183.4
2020,INDIANA,MONROE,105,168.2
2020,INDIANA,ORANGE,117,205.3
2020,INDIANA,PERRY,123,179.7
2020,INDIANA,WASHINGTON,175,172.9
2020,INDIANA,CLARK,19,173.4
2020,INDIANA,DEARBORN,29,173.2
2020,INDIANA,FRANKLIN,47,184.9
2020,INDIANA,JEFFERSON,77,165
2020,INDIANA,JENNINGS,79,177.1
2020,INDIANA,OHIO,115,154.3
2020,INDIANA,RIPLEY,137,178.4
2020,INDIANA,SWITZERLAND,155,182.2
2020,INDIANA,DAVIESS,27,192.4
2020,INDIANA,DUBOIS,37,183.9
2020,INDIANA,GIBSON,51,200.3
2020,INDIANA,GREENE,55,184.3
2020,INDIANA,KNOX,83,187
2020,INDIANA,MARTIN,101,190.6
2020,INDIANA,PIKE,125,181.4
2020,INDIANA,POSEY,129,199
2020,INDIANA,SPENCER,147,182.7
2020,INDIANA,SULLIVAN,153,182.9
2020,INDIANA,VANDERBURGH,163,204.7
2020,INDIANA,WARRICK,173,176.9
2020,INDIANA,CLAY,21,189.1
2020,INDIANA,FOUNTAIN,45,186.9
2020,INDIANA,MONTGOMERY,107,205
2020,INDIANA,OWEN,119,168.5
2020,INDIANA,PARKE,121,196.7
2020,INDIANA,PUTNAM,133,193.5
2020,INDIANA,TIPPECANOE,157,207.1
2020,INDIANA,VERMILLION,165,188.8
2020,INDIANA,VIGO,167,176.7
2020,INDIANA,WARREN,171,206.6
2020,INDIANA,OTHER COUNTIES,,160
2019,INDIANA,BOONE,11,177.4
2019,INDIANA,DECATUR,31,180
2019,INDIANA,HAMILTON,57,156.7
2019,INDIANA,HANCOCK,59,138.2
2019,INDIANA,HENDRICKS,63,176.1
2019,INDIANA,HOWARD,67,185.6
2019,INDIANA,JOHNSON,81,169.2
2019,INDIANA,MADISON,95,158.9
2019,INDIANA,MARION,97,144.2
2019,INDIANA,OTHER (COMBINED) COUNTIES,,173.4
2019,INDIANA,RUSH,139,180
2019,INDIANA,SHELBY,145,163.5
2019,INDIANA,TIPTON,159,172.4
2019,INDIANA,DELAWARE,35,157.6
2019,INDIANA,FAYETTE,41,177.3
2019,INDIANA,JAY,75,164.9
2019,INDIANA,OTHER (COMBINED) COUNTIES,,168.4
2019,INDIANA,RANDOLPH,135,170.5
2019,INDIANA,UNION,161,179
2019,INDIANA,WAYNE,177,167.5
2019,INDIANA,CARROLL,15,194.6
2019,INDIANA,ELKHART,39,154.7
2019,INDIANA,FULTON,49,172.6
2019,INDIANA,KOSCIUSKO,85,173.7
2019,INDIANA,MARSHALL,99,157.1
2019,INDIANA,OTHER (COMBINED) COUNTIES,,171.6
2019,INDIANA,ST. JOSEPH,141,147.8
2019,INDIANA,WABASH,169,184.3
2019,INDIANA,ADAMS,1,170.1
2019,INDIANA,ALLEN,3,181.4
2019,INDIANA,DE KALB,33,168.3
2019,INDIANA,HUNTINGTON,69,181
2019,INDIANA,LAGRANGE,87,133.3
2019,INDIANA,NOBLE,113,179.5
2019,INDIANA,OTHER (COMBINED) COUNTIES,,177
2019,INDIANA,WHITLEY,183,174
2019,INDIANA,BENTON,7,186
2019,INDIANA,LA PORTE,91,148.1
2019,INDIANA,NEWTON,111,182.4
2019,INDIANA,OTHER (COMBINED) COUNTIES,,175.4
2019,INDIANA,PORTER,127,181.2
2019,INDIANA,PULASKI,131,161
2019,INDIANA,STARKE,149,146.3
2019,INDIANA,WHITE,181,177.6
2019,INDIANA,CRAWFORD,25,126.4
2019,INDIANA,FLOYD,43,146.4
